chrom	start	end	hit_type	alt_hit_type	hits	alt_hits	pair_prop	alt_prop	pair_totprop	pair_totgoodprop	pair_totcloseprop	winsize	winstep	pair_fpkm	alt_fpkm	pair_prop_fpkm	alt_prop_fpkm	
2L	3530000	3630000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3540000	3640000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3550000	3650000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3560000	3660000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3570000	3670000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3580000	3680000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3590000	3690000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3600000	3700000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3610000	3710000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3620000	3720000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3630000	3730000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3640000	3740000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3650000	3750000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3660000	3760000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3670000	3770000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3680000	3780000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	3690000	3790000	paired	self	1	114	0.0086956522	0.99130435	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69058263	0.0086956522	0.99130435
2L	4200000	4300000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4210000	4310000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4220000	4320000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4230000	4330000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4240000	4340000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4250000	4350000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4260000	4360000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4270000	4370000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4280000	4380000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4290000	4390000	paired	self	1	128	0.007751938	0.99224806	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.77539103	0.007751938	0.99224806
2L	4300000	4400000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4310000	4410000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4320000	4420000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4330000	4430000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4340000	4440000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4350000	4450000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4360000	4460000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4370000	4470000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4380000	4480000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4390000	4490000	paired	self	1	156	0.0063694268	0.99363057	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.94500781	0.0063694268	0.99363057
2L	4600000	4700000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4610000	4710000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4620000	4720000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4630000	4730000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4640000	4740000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4650000	4750000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4660000	4760000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4670000	4770000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4680000	4780000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	4690000	4790000	paired	self	1	90	0.010989011	0.98901099	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.54519682	0.010989011	0.98901099
2L	6200000	6300000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6210000	6310000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6220000	6320000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6230000	6330000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6240000	6340000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6250000	6350000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6260000	6360000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6270000	6370000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6280000	6380000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6290000	6390000	paired	self	1	130	0.0076335878	0.99236641	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.78750651	0.0076335878	0.99236641
2L	6800000	6900000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6810000	6910000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6820000	6920000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6830000	6930000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6840000	6940000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6850000	6950000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6860000	6960000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6870000	6970000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6880000	6980000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6890000	6990000	paired	self	1	134	0.0074074074	0.99259259	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.81173748	0.0074074074	0.99259259
2L	6900000	7000000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6910000	7010000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6920000	7020000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6930000	7030000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6940000	7040000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6950000	7050000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6960000	7060000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6970000	7070000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6980000	7080000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	6990000	7090000	paired	self	1	119	0.0083333333	0.99166667	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72087135	0.0083333333	0.99166667
2L	8800000	8900000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8810000	8910000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8820000	8920000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8830000	8930000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8840000	8940000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8850000	8950000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8860000	8960000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8870000	8970000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8880000	8980000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	8890000	8990000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	9900000	10000000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9910000	10010000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9920000	10020000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9930000	10030000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9940000	10040000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9950000	10050000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9960000	10060000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9970000	10070000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9980000	10080000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	9990000	10090000	paired	self	1	158	0.0062893082	0.99371069	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.9571233	0.0062893082	0.99371069
2L	10100000	10200000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10110000	10210000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10120000	10220000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10130000	10230000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10140000	10240000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10150000	10250000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10160000	10260000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10170000	10270000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10180000	10280000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10190000	10290000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10500000	10600000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10510000	10610000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10520000	10620000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10530000	10630000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10540000	10640000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10550000	10650000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10560000	10660000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10570000	10670000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10580000	10680000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	10590000	10690000	paired	self	1	115	0.0086206897	0.99137931	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.69664038	0.0086206897	0.99137931
2L	11100000	11200000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11110000	11210000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11120000	11220000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11130000	11230000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11140000	11240000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11150000	11250000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11160000	11260000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11170000	11270000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11180000	11280000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11190000	11290000	paired	self	3	124	0.023622047	0.97637795	3.0009303e-05	3.6230134e-05	3.6310821e-05	100000	10000	0.018173227	0.75116006	0.023622047	0.97637795
2L	11200000	11300000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11210000	11310000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11220000	11320000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11230000	11330000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11240000	11340000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11250000	11350000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11260000	11360000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11270000	11370000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11280000	11380000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
2L	11290000	11390000	paired	self	1	137	0.0072463768	0.99275362	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.82991071	0.0072463768	0.99275362
